roi,bp0.2-0.5_pre,bp0.5-1.0_pre,bp1.0-2.0_pre,bp2.0-5.0_pre,domfreq_pre,bp0.2-0.5_stim,bp0.5-1.0_stim,bp1.0-2.0_stim,bp2.0-5.0_stim,domfreq_stim,bp0.2-0.5_post,bp0.5-1.0_post,bp1.0-2.0_post,bp2.0-5.0_post,domfreq_post
46,0.47720154398815334,0.15531228187952117,0.20409983161081338,0.16338634252151216,0.24999999999999645,0.37272079861181884,0.4505829223123745,0.1608434632267543,0.015852815849052442,0.3999999999999943,0.15025472610935273,0.3663145907548931,0.24379528370385478,0.23963539943189943,0.857142857142845
47,0.40012833917300383,0.3234721309656178,0.14349225378546687,0.13290727607591157,0.4999999999999929,0.6424025330590412,0.29034825654553126,0.03259475164198185,0.03465445875344569,0.3999999999999943,0.4907946081765676,0.29773039480297137,0.09529952031315649,0.11617547670730456,0.342857142857138
48,0.6362337786233464,0.05074468677201662,0.05164187538301908,0.2613796592216179,0.24999999999999645,0.7933434932158737,0.1626563548163937,0.025844281025949926,0.018155870941782615,0.3999999999999943,0.5133203051327814,0.37447473182694585,0.04251406481662005,0.06969089822365275,0.31428571428570984
49,0.50433957389392,0.06430087551017154,0.10519926635464809,0.32616028424126053,0.24999999999999645,0.40768094126457094,0.293877240579193,0.13300844175840051,0.16543337639783526,0.3999999999999943,0.44315176887089613,0.3215017268897754,0.1088192928323705,0.12652721140695797,0.31428571428570984
50,0.258542374200151,0.22346206324773116,0.162292028640112,0.355703533912006,0.7499999999999893,0.4334460727639915,0.3282998408285517,0.06814977603609605,0.1701043103713608,0.3999999999999943,0.6142651810825026,0.24799393322894073,0.09191545995555872,0.04582542573299801,0.22857142857142532
51,0.41537999910340834,0.13134600882327593,0.1330373201110663,0.3202366719622494,0.4999999999999929,0.34958920869543075,0.19832903319298487,0.044156360438861154,0.4079253976727231,0.3999999999999943,0.5399454395348824,0.30189959603318645,0.047675962208266975,0.11047900222366437,0.31428571428570984
52,0.5390341972174804,0.20814501357175044,0.10626870996324421,0.14655207924752503,0.24999999999999645,0.45410624435737146,0.43035705493628057,0.06789681205307327,0.04763988865327473,0.3999999999999943,0.37052548922118894,0.3903560951397728,0.11644911860590526,0.12266929703313298,0.22857142857142532
53,0.7624518309721967,0.0933378684933275,0.05609165875871739,0.08811864177575872,0.24999999999999645,0.8133522405394407,0.14188797743033657,0.03956566260438642,0.0051941194258363745,0.3999999999999943,0.03160882559636783,0.5551800088425358,0.25392411401986426,0.1592870515412321,0.9142857142857013
54,0.19314509489415435,0.5371807686409733,0.09781613393866746,0.171858002526205,0.8749999999999876,0.4442872217091183,0.4473122798839258,0.10312513950891024,0.005275358898045875,0.3999999999999943,0.5381895112362887,0.11626982244978902,0.17662015334155126,0.16892051297237115,0.3714285714285661
55,0.6828509683135041,0.14978725268744753,0.10638822733937392,0.060973551659674455,0.24999999999999645,0.5512398643540943,0.3571010566203594,0.05807684893332812,0.03358223009221815,0.3999999999999943,0.4605283063732303,0.24503561651733974,0.14654653676464535,0.1478895403447845,0.3714285714285661
56,0.6404828184075726,0.13955847014776243,0.16384941589859697,0.05610929554606785,0.24999999999999645,0.42102348789677874,0.5063061710158095,0.055017420267295836,0.017652920820115815,0.3999999999999943,0.534725449874253,0.13912645268578977,0.13344273124915138,0.19270536619080597,0.342857142857138
57,0.3055675082004162,0.39564323270583207,0.12316419424784722,0.1756250648459044,0.24999999999999645,0.4134179812363386,0.4722062267037395,0.10262889609025563,0.011746895969666118,0.3999999999999943,0.12850541607809685,0.18990407482237723,0.1389672276284541,0.5426232814710719,2.771428571428532
58,0.39317536092815364,0.321647626433136,0.18171749670422147,0.10345951593448903,0.24999999999999645,0.5424130559485916,0.3213596733023253,0.0668033627829207,0.06942390796616231,0.3999999999999943,0.20617611679921083,0.10540361423419949,0.2316699106095756,0.4567503583570142,2.4857142857142502
59,0.7834684570934388,0.11386028453095699,0.03846179940133225,0.06420945897427208,0.24999999999999645,0.4484617108855197,0.4187916554799581,0.07743235647068303,0.05531427716383927,0.3999999999999943,0.2748627143836409,0.2489145882636807,0.20460411814685545,0.271618579205823,0.3714285714285661
