roi,rate_mean_pre,rate_peak_pre,rate_active_frac_pre,rate_mean_stim,rate_peak_stim,rate_active_frac_stim,rate_mean_post,rate_peak_post,rate_active_frac_post,dff_mean_pre,dff_peak_pre,dff_mean_stim,dff_peak_stim,dff_mean_post,dff_peak_post,rate_group
48,0.3328538132902693,0.4183349183587563,0.0125,0.43277919719921365,1.1965934856141447,0.24,0.5612628420858462,1.1722019303266888,0.49411764705882355,0.005406306,0.02577429,0.03453155,0.11842505,-0.010839834,0.14479432,1
49,0.33283721487870105,0.3907758751673909,0.0,0.32381388575424025,0.36136865134979235,0.0,0.4630691366840522,0.7181530954280002,0.4823529411764706,0.004595468,0.024318693,0.009840634,0.036521804,-0.019970462,0.014486341,1
50,0.3208238788908865,0.3736444774246022,0.0,0.31993375280006103,0.39001825637275184,0.0,0.444989468154402,0.705009388299657,0.3911764705882353,0.0119503625,0.05121575,0.016667474,0.055719808,-0.013296157,0.03706631,1
51,0.32589704118669904,0.36537073654254903,0.0,0.3112834195233249,0.3429222067787568,0.0,0.3410791550604711,0.4436205616471301,0.31470588235294117,0.00633189,0.023184495,0.01583323,0.036176465,0.006766784,0.042923648,1
52,0.33426667994459053,0.5685437300365389,0.0875,2.753506366661436,9.901939302653854,0.82,0.8823938452183872,1.927462304703642,0.6294117647058823,0.028087508,0.10930181,0.27784213,0.5071071,-0.014598615,0.35518458,3
53,0.34830857732016696,0.4032990032552057,0.0125,1.6013419037406502,8.307322922855072,0.52,3.6810036267208863,7.622898179572556,1.0,0.00023908894,0.014987418,0.062299423,0.48004925,0.77124,1.1510676,3
54,0.3894610533915004,0.4650346847395794,0.325,0.42356983830654554,1.1603459844714483,0.38,0.355644007173456,0.5425983420077983,0.25,-0.008851069,0.0011693175,0.015023295,0.064518005,-0.00039294755,0.026647534,1
55,0.4153199603783607,0.68030353780846,0.5125,0.38950142478972366,0.7143991561851581,0.38,0.4774514851264881,0.7165733377404729,0.6764705882352942,-0.011863316,0.0048473044,0.01594292,0.06297312,-0.02278304,0.019860843,2
56,0.374114067209346,0.4593131020337689,0.075,0.3916159880939078,0.4454094939115943,0.38,0.29387118092197495,0.4174362933988135,0.026470588235294117,-0.006187457,0.0033696408,-0.0075169746,0.009430877,0.03670046,0.07366144,1
57,0.39963629775624787,0.7222204975913284,0.35,0.4277369908905043,0.8154774262411357,0.46,0.28242913984507895,0.35812997558029447,0.0,-0.008424262,0.031411324,0.0037250302,0.043737255,0.03101974,0.070692986,2
58,0.3691180340758867,0.4368271726732394,0.1125,0.4270201819100542,0.5351519407268097,0.72,0.27538515175963507,0.321295236638353,0.0,-0.0045318035,0.016991287,-0.013603534,0.009242145,0.03444568,0.062332712,2
59,0.36522551365603106,0.4593430135663178,0.0625,0.4081711758945034,0.5010500341604314,0.6,0.2988729607312398,0.368476952927824,0.0,-0.0033486784,0.014529232,-0.010911644,0.00762562,0.019929051,0.04545971,1
