time_s,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31
9.4,-0.0083618555,-0.010676622,0.015372921,0.022532765,-0.0064494577,-0.018568892,-0.00045823108,-0.013531152,-0.029326875,-0.020976217,-0.009609629,-0.0279575,-0.004813563,0.00771531,-0.015883394,0.0023093573,-0.006348918,-0.019497195,-0.035201922,0.009281312,0.011530926,-0.025175823,0.060750015,-0.012537297,0.0072102435,-0.0295926,0.023488373,-0.012290211,0.019529304,-0.001678408,-0.057999466
9.5,-0.015014344,-0.013342143,0.015384289,0.022865927,-0.010308516,-0.021203505,-0.0031596539,-0.011684594,-0.03386088,-0.029681206,-0.017432239,-0.038766306,-0.008631057,-0.00076253305,-0.021706078,-0.006429498,-0.015397149,-0.025186744,-0.04116529,0.011349295,0.0072068293,-0.029593362,0.04801723,-0.019788776,0.0025053492,-0.039571233,0.02397168,-0.024731826,0.017051889,0.0014318081,-0.066174075
9.6,-0.019323532,-0.019544246,0.014484745,0.02291073,-0.0109961,-0.025259491,0.0003522901,-0.017720979,-0.042289894,-0.028821466,-0.02739887,-0.034525163,-0.010018666,7.5841326e-06,-0.025388435,-0.017876621,-0.02842516,-0.040513188,-0.062233567,0.012507502,0.002439228,-0.043088395,0.056026857,-0.023151787,-0.008337768,-0.053675875,0.016781773,-0.03263269,0.012506872,-0.008497199,-0.072501086
9.7,-0.043668676,-0.032643974,0.00045431196,0.014530951,-0.01853624,0.00063995033,-0.017009407,-0.005537775,-0.02645024,-0.04630489,-0.03787602,-0.020105975,-0.02573816,-0.029810885,-0.017892784,-0.032576203,-0.05086493,-0.009889272,-0.021642333,-0.0041260673,-0.0140071055,-0.0039776103,-0.022466846,-0.046651974,-0.012429688,-0.06834642,-0.0495352,-0.022970395,0.022246001,-0.03584563,0.0126354955
9.8,-0.0020086076,0.006801666,-0.004760779,0.009446013,0.012711975,-0.013820798,-0.005463,-0.019727243,0.0013489076,0.022568336,0.0012993374,0.026230646,0.007881193,0.004448609,0.02272634,0.014915504,-0.007400932,0.0032403113,-0.021217437,-0.015976274,0.013143172,-0.01933492,-0.034307312,-0.0033581008,-0.016996361,0.009751333,-0.028986938,0.025434412,0.006495085,-0.029183304,0.008730683
9.9,-0.0094073815,-0.014520533,0.005022039,0.007428366,-0.0075339703,-0.012264864,-0.009698028,-0.0072865235,-0.019376561,-0.01609583,-0.013706923,-0.021508299,-0.009375602,-0.0069196317,-0.009495874,-0.012799042,-0.016947769,-0.008726614,-0.014290057,-0.00076005084,0.0032990752,-0.011720517,0.0007621527,-0.025295133,-0.0015628681,-0.028617358,-0.004080316,0.0036806457,0.004695789,-0.0026918661,-0.008867375
10.0,-0.017164188,-0.015930539,0.002584601,0.008779364,-0.01193674,-0.02596025,-0.009796277,-0.01209477,-0.033962484,-0.01927966,-0.014843301,-0.026268298,-0.012968861,-0.001788919,-0.01400347,-0.009658932,-0.02348079,-0.023143036,-0.03343914,0.0024146708,-0.00023371428,-0.028770458,0.018004026,-0.022707405,-0.0026168432,-0.028185524,-0.00014649636,-0.013016643,0.0050938716,-0.01030554,-0.042648993
10.1,-0.0132146245,-0.01640899,-0.0046189534,-0.006941132,-0.021439409,-0.026030082,-0.0126216365,-0.021975275,-0.02740081,-0.01551963,-0.009816401,-0.026150081,-0.012832157,-0.019717902,-0.0112478,-0.0022988436,0.0008760668,-0.015365102,-0.018596033,0.0070276135,0.01758417,-0.015429061,0.00823143,-0.021773994,-0.0063243387,-0.019959163,0.0019123941,-0.029805854,-0.006252407,-0.010834232,-0.034446742
10.2,-0.01720506,-0.017779298,-0.0021582937,-0.0021139183,-0.016336368,-0.02036557,-0.0118856365,-0.014974582,-0.029322833,-0.025241503,-0.013386919,-0.029722005,-0.016163344,-0.013324197,-0.016432399,-0.00935056,-0.013318506,-0.018037394,-0.030646503,0.007858748,0.003537983,-0.023071537,0.006519648,-0.030642826,-0.0041481066,-0.030030578,-0.0019868568,-0.014067775,-0.0011896164,-0.0032539417,-0.033895366
10.3,-0.015256836,-0.01890615,-0.00603471,-0.004009038,-0.017989036,-0.021211721,-0.0071518156,-0.017077247,-0.032165136,-0.0175647,-0.01336992,-0.027136462,-0.015547219,-0.012061018,-0.015480632,-0.01045432,-0.008829397,-0.015103214,-0.023257332,0.0010232389,0.00674221,-0.020243157,0.009559628,-0.021415772,-0.004880378,-0.02823494,0.0057110223,-0.021668758,0.00032429112,-0.009044251,-0.031230884
